Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_IDR,HDD,SSD,Flash Storage,Hybrid,Memory_2,Touchscreen,IPS,TypeResolution,x_res,y_res
4,0,13.3,106,16,512,61,5,1.62,21743000.0,0,1,0,0,0,1,0,1,1920,1080
4,3,15.6,83,8,256,6,2,2.2,11514950.0,0,1,0,0,0,0,0,1,1920,1080
10,0,14.0,83,8,256,61,5,1.74,15283000.0,0,1,0,0,0,0,1,1,1920,1080
16,4,13.3,89,8,256,47,5,1.2,23171000.0,0,1,0,0,0,0,0,1,1920,1080
7,3,15.6,83,8,1000,61,5,2.1,13498000.0,1,0,0,0,0,0,0,1,1920,1080
4,1,17.3,102,16,256,79,5,4.42,41757780.0,1,1,0,0,1000,0,1,1,1920,1080
0,3,15.6,97,8,256,72,5,2.2,14144000.0,0,1,0,0,0,0,0,1,1920,1080
4,3,15.6,97,16,1000,30,5,2.3,14603170.0,1,0,0,0,0,1,0,1,1920,1080
2,3,15.6,74,8,256,67,5,2.0,13073000.0,0,1,0,0,0,0,0,1,1920,1080
2,3,17.3,74,8,256,86,5,2.69,15147000.0,1,1,0,0,500,0,0,1,1920,1080
7,3,15.6,97,8,1000,1,5,1.9,21573000.0,1,0,0,0,0,0,0,1,1920,1080
2,3,15.6,59,4,1000,53,5,2.37,6782830.0,1,0,0,0,0,0,0,0,1366,768
7,3,15.6,19,4,500,12,5,2.1,5610000.0,1,0,0,0,0,0,0,0,1366,768
10,1,15.6,102,16,256,79,5,3.2,25483000.0,1,1,0,0,1000,0,1,1,1920,1080
4,3,14.0,74,8,256,53,5,1.6,14603000.0,0,1,0,0,0,0,0,1,1920,1080
0,0,13.3,68,8,256,47,5,1.6,11713000.0,0,1,0,0,0,1,1,1,1920,1080
4,3,15.6,97,16,256,30,2,2.36,15283000.0,0,1,0,0,0,0,0,1,1920,1080
0,3,15.6,56,4,1000,47,2,2.1,6630000.0,1,0,0,0,0,0,0,0,1366,768
2,3,15.6,2,4,128,24,5,2.2,9775000.0,1,1,0,0,1000,0,0,1,1920,1080
